image_path,label,split
train/Rice_Bacterial_Leaf_Stripe/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_stripes_086183.jpeg,Rice_Bacterial_Leaf_Stripe,train
train/Rice_Healthy/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_healthy_081613.jpeg,Rice_Healthy,train
train/Tomato_Leaf_Mold/PlantVillage_train_PlantVillage_train_Tomato___Leaf_Mold_054173.jpg,Tomato_Leaf_Mold,train
train/Potato_Healthy/PlantVillage_train_PlantVillage_train_Potato___healthy_040466.jpg,Potato_Healthy,train
train/Cherry_(including_sour)_healthy/PlantVillage_train_PlantVillage_train_Cherry_(including_sour)___healthy_023582.jpg,Cherry_(including_sour)_healthy,train
train/Grape_Black_rot/PlantVillage_train_PlantVillage_train_Grape___Black_rot_028083.jpg,Grape_Black_rot,train
train/Squash_Powdery_mildew/PlantVillage_train_PlantVillage_train_Squash___Powdery_mildew_046292.jpg,Squash_Powdery_mildew,train
train/Rice_Leaf_Folder/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_leaf_folder_084623.jpeg,Rice_Leaf_Folder,train
val/Corn_rust_leaf/plantDoc_val_plantDoc_train_Corn_rust_leaf_020203.jpg,Corn_rust_leaf,val
train/Apple_Black_Rot/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Black_rot_004368.jpg,Apple_Black_Rot,train
train/Rice_Healthy/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_healthy_081376.jpeg,Rice_Healthy,train
train/Corn_(maize)_Northern_Leaf_Blight/PlantVillage_train_PlantVillage_train_Corn_(maize)___Northern_Leaf_Blight_027410.jpg,Corn_(maize)_Northern_Leaf_Blight,train
train/Rice_Scald/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_scald_085727.jpg,Rice_Scald,train
train/Tomato_Healthy/PlantVillage_train_PlantVillage_train_Tomato___healthy_051499.jpg,Tomato_Healthy,train
train/Tomato_Late_Blight/plantDoc_train_plantDoc_train_Tomato_leaf_late_blight_021465.jpg,Tomato_Late_Blight,train
train/Tomato_Target_Spot/PlantVillage_train_PlantVillage_train_Tomato___Target_Spot_057569.jpg,Tomato_Target_Spot,train
test/Grape_Leaf_blight_(Isariopsis_Leaf_Spot)/PlantVillage_test_PlantVillage_train_Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_030339.jpg,Grape_Leaf_blight_(Isariopsis_Leaf_Spot),test
val/Rice_Blast/rice-leaf-disease-riceguard_val_rice-leaf-disease-riceguard_val_blast_089096.jpeg,Rice_Blast,val
train/Rice_Healthy/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_healthy_081976.jpeg,Rice_Healthy,train
val/Orange_Haunglongbing_(Citrus_greening)/PlantVillage_val_PlantVillage_val_Orange___Haunglongbing_(Citrus_greening)_065552.jpg,Orange_Haunglongbing_(Citrus_greening),val
train/Apple_Scab/plantDoc_train_plantDoc_train_Apple_Scab_Leaf_019530.jpg,Apple_Scab,train
val/Tomato_Yellow_Leaf_Curl_Virus/PlantVillage_val_PlantVillage_val_Tomato___Tomato_Yellow_Leaf_Curl_Virus_073081.jpg,Tomato_Yellow_Leaf_Curl_Virus,val
"train/Bell_Pepper_Bacterial_Spot/PlantVillage_train_PlantVillage_train_Pepper,_bell___Bacterial_spot_038318.jpg",Bell_Pepper_Bacterial_Spot,train
